jd,UT1_UTC,sigma,DeltaT
2458976.5,-247.8448,0.007,69.4318448
2458977.5,-248.6936,0.0071,69.4326936
2458978.5,-249.3145,0.0072,69.4333145
2458979.5,-249.727,0.0073,69.43372699999999
2458980.5,-249.985,0.0074,69.43398499999999
2458981.5,-250.1641,0.0074,69.4341641
2458982.5,-250.3571,0.0075,69.4343571
2458983.5,-250.5619,0.0076,69.43456189999999
2458984.5,-250.7604,0.0076,69.4347604
2458985.5,-251.0803,0.0076,69.4350803
2458986.5,-251.4781,0.0076,69.4354781
2458987.5,-252.0116,0.0076,69.4360116
2458988.5,-252.6084,0.0076,69.4366084
2458989.5,-253.1595,0.0077,69.43715949999999
2458990.5,-253.6215,0.0079,69.43762149999999
2458991.5,-253.9584,0.008,69.4379584
2458992.5,-254.1455,0.0082,69.4381455
2458993.5,-254.1521,0.0083,69.4381521
2458994.5,-254.0079,0.0085,69.4380079
2458995.5,-253.8362,0.0086,69.43783619999999
2458996.5,-253.6835,0.0088,69.43768349999999
2458997.5,-253.5558,0.0089,69.4375558
2458998.5,-253.5453,0.0091,69.4375453
2458999.5,-253.7142,0.0092,69.4377142
2459000.5,-254.0943,0.0094,69.4380943
2459001.5,-254.6512,0.0096,69.4386512
2459002.5,-255.2636,0.0096,69.4392636
2459003.5,-255.8111,0.0097,69.4398111
2459004.5,-256.1433,0.0098,69.4401433
2459005.5,-256.2125,0.0097,69.4402125
2459006.5,-256.0362,0.0099,69.4400362
2459007.5,-255.6732,0.0102,69.4396732
2459008.5,-255.1905,0.01,69.4391905
2459009.5,-254.6373,0.0101,69.4386373
2459010.5,-254.0253,0.0102,69.43802529999999
2459011.5,-253.3824,0.0102,69.4373824
2459012.5,-252.7082,0.0102,69.4367082
2459013.5,-252.0923,0.0102,69.4360923
2459014.5,-251.5698,0.0102,69.4355698
2459015.5,-251.1455,0.0102,69.4351455
2459016.5,-250.7551,0.0102,69.4347551
2459017.5,-250.2728,0.0102,69.4342728
2459018.5,-249.6915,0.01,69.4336915
2459019.5,-249.0204,0.0099,69.4330204
2459020.5,-248.102,0.0099,69.432102
2459021.5,-247.0621,0.0096,69.43106209999999
2459022.5,-245.9006,0.0096,69.4299006
2459023.5,-244.7075,0.0096,69.4287075
2459024.5,-243.5776,0.0095,69.42757759999999
2459025.5,-242.6081,0.0096,69.4266081
2459026.5,-241.8658,0.0095,69.4258658
2459027.5,-241.3584,0.0095,69.4253584
2459028.5,-241.0263,0.0095,69.4250263
2459029.5,-240.8088,0.0094,69.4248088
2459030.5,-240.5729,0.0094,69.4245729
2459031.5,-240.1541,0.0093,69.4241541
2459032.5,-239.493,0.0093,69.423493
2459033.5,-238.6042,0.0094,69.4226042
2459034.5,-237.4976,0.0092,69.4214976
2459035.5,-236.2157,0.0092,69.4202157
2459036.5,-234.8932,0.0092,69.4188932
2459037.5,-233.6113,0.0092,69.4176113
2459038.5,-232.4088,0.0092,69.4164088
2459039.5,-231.2898,0.0092,69.4152898
2459040.5,-230.2231,0.0092,69.4142231
2459041.5,-229.2534,0.0092,69.4132534
2459042.5,-228.2505,0.0092,69.4122505
2459043.5,-227.2025,0.0092,69.4112025
2459044.5,-226.1191,0.0093,69.4101191
2459045.5,-224.9892,0.0094,69.4089892
2459046.5,-223.7845,0.0096,69.40778449999999
2459047.5,-222.4785,0.0098,69.40647849999999
2459048.5,-221.1074,0.0099,69.40510739999999
2459049.5,-219.6918,0.0102,69.4036918
2459050.5,-218.2373,0.0104,69.4022373
2459051.5,-216.864,0.0105,69.400864
2459052.5,-215.6688,0.0107,69.3996688
2459053.5,-214.7063,0.0102,69.3987063
2459054.5,-213.9791,0.0103,69.3979791
2459055.5,-213.4367,0.0104,69.3974367
